periodConcept,Relation,ConceptLevel,Start Age£¨Ma£©,Bottom Time Uncertainty(Ma),End Age(Ma),Top Time Uncertainty(Ma),Version,positionCoding,Part of,Labal,Publication_year,
Algonkian,inScheme,Period,45.14,unspecified,27.64,unspecified,Walcott1893,02_11_51,Phanerozoic,Algonkian1893,1893,
Paleozoic,inScheme,Period,27.64,unspecified,10.14,unspecified,Walcott1893,02_11_52,Phanerozoic,Paleozoic1893,1893,
Mesozoic,inScheme,Period,10.14,unspecified,2.9,unspecified,Walcott1893,02_11_53,Phanerozoic,Mesozoic1893,1893,
Cenozoic,inScheme,Period,2.9,unspecified,0,0,Walcott1893,02_11_54,Phanerozoic,Cenozoic1893,1893,
Paleozoic,inScheme,Period,57,unspecified,12,unspecified,Williams1893(Barrell1917),03_11_33,Phanerozoic,PaleozoicWilliams1893(Barrell1917),1893,
Cambrian,inScheme,Period,57,unspecified,42,unspecified,Williams1893(Barrell1917),03_11_33_77,Phanerozoic,CambrianWilliams1893(Barrell1917),1893,
Ordovician,inScheme,Period,42,unspecified,27,unspecified,Williams1893(Barrell1917),03_11_33_76,Phanerozoic,OrdovicianWilliams1893(Barrell1917),1893,
Silurian,inScheme,Period,27,unspecified,23,unspecified,Williams1893(Barrell1917),03_11_33_75,Phanerozoic,SilurianWilliams1893(Barrell1917),1893,
Devonian,inScheme,Period,23,unspecified,18,unspecified,Williams1893(Barrell1917),03_11_33_74,Phanerozoic,DevonianWilliams1893(Barrell1917),1893,
Mississppian,inScheme,Period,18,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_33_73,Phanerozoic,MississppianWilliams1893(Barrell1917),1893,
Pennsylvanian,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_33_72,Phanerozoic,PennsylvanianWilliams1893(Barrell1917),1893,
Permian,inScheme,Period,unspecified,unspecified,12,unspecified,Williams1893(Barrell1917),03_11_33_71,Phanerozoic,PermianWilliams1893(Barrell1917),1893,
Mesozoic,inScheme,Period,12,unspecified,3,unspecified,Williams1893(Barrell1917),03_11_32,Phanerozoic,MesozoicWilliams1893(Barrell1917),1893,
Triassic,inScheme,Period,12,unspecified,10,unspecified,Williams1893(Barrell1917),03_11_32_44,Phanerozoic,TriassicWilliams1893(Barrell1917),1893,
Jurassic,inScheme,Period,10,unspecified,7,unspecified,Williams1893(Barrell1917),03_11_32_43,Phanerozoic,JurassicWilliams1893(Barrell1917),1893,
Comanche,inScheme,Period,7,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_32_42,Phanerozoic,ComancheWilliams1893(Barrell1917),1893,
Cretaceous,inScheme,Period,unspecified,unspecified,3,unspecified,Williams1893(Barrell1917),03_11_32_41,Phanerozoic,CretaceousWilliams1893(Barrell1917),1893,
Cenozoic,inScheme,Period,3,unspecified,0,unspecified,Williams1893(Barrell1917),03_11_31,Phanerozoic,CenozoicWilliams1893(Barrell1917),1893,
Eocene,inScheme,Period,3,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_31_66,Phanerozoic,EoceneWilliams1893(Barrell1917),1893,
Oligocene,inScheme,Period,unspecified,unspecified,2,unspecified,Williams1893(Barrell1917),03_11_31_65,Phanerozoic,OligoceneWilliams1893(Barrell1917),1893,
Miocene,inScheme,Period,2,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_31_64,Phanerozoic,MioceneWilliams1893(Barrell1917),1893,
Pliocene,inScheme,Period,unspecified,unspecified,1,unspecified,Williams1893(Barrell1917),03_11_31_63,Phanerozoic,PlioceneWilliams1893(Barrell1917),1893,
Pleistocene,inScheme,Period,1,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_31_62,Phanerozoic,PleistoceneWilliams1893(Barrell1917),1893,
Recent,inScheme,Period,unspecified,unspecified,0,0,Williams1893(Barrell1917),03_11_31_61,Phanerozoic,RecentWilliams1893(Barrell1917),1893,
Paleozoic,inScheme,Period,30,unspecified,12,unspecified,Schuchert1910(Barrell1917),03_11_33,Phanerozoic,PaleozoicSchuchert1910(Barrell1917),1910,
Cambrian,inScheme,Period,30,unspecified,26.4,unspecified,Schuchert1910(Barrell1917),03_11_33_77,Phanerozoic,CambrianSchuchert1910(Barrell1917),1910,
Ordovician,inScheme,Period,26.4,unspecified,22.26,unspecified,Schuchert1910(Barrell1917),03_11_33_76,Phanerozoic,OrdovicianSchuchert1910(Barrell1917),1910,
Silurian,inScheme,Period,22.26,unspecified,20.46,unspecified,Schuchert1910(Barrell1917),03_11_33_75,Phanerozoic,SilurianSchuchert1910(Barrell1917),1910,
Devonian,inScheme,Period,20.46,unspecified,18.48,unspecified,Schuchert1910(Barrell1917),03_11_33_74,Phanerozoic,DevonianSchuchert1910(Barrell1917),1910,
Mississppian,inScheme,Period,18.48,unspecified,15.78,unspecified,Schuchert1910(Barrell1917),03_11_33_73,Phanerozoic,MississppianSchuchert1910(Barrell1917),1910,
Pennsylvanian,inScheme,Period,15.78,unspecified,13.62,unspecified,Schuchert1910(Barrell1917),03_11_33_72,Phanerozoic,PennsylvanianSchuchert1910(Barrell1917),1910,
Permian,inScheme,Period,13.62,unspecified,12,unspecified,Schuchert1910(Barrell1917),03_11_33_71,Phanerozoic,PermianSchuchert1910(Barrell1917),1910,
Mesozoic,inScheme,Period,12,unspecified,3,unspecified,Schuchert1910(Barrell1917),03_11_32,Phanerozoic,MesozoicSchuchert1910(Barrell1917),1910,
Triassic,inScheme,Period,12,unspecified,9.75,unspecified,Schuchert1910(Barrell1917),03_11_32_44,Phanerozoic,TriassicSchuchert1910(Barrell1917),1910,
Jurassic,inScheme,Period,9.75,unspecified,7.5,unspecified,Schuchert1910(Barrell1917),03_11_32_43,Phanerozoic,JurassicSchuchert1910(Barrell1917),1910,
Comanche,inScheme,Period,7.5,unspecified,5.7,unspecified,Schuchert1910(Barrell1917),03_11_32_42,Phanerozoic,ComancheSchuchert1910(Barrell1917),1910,
Cretaceous,inScheme,Period,5.7,unspecified,3,unspecified,Schuchert1910(Barrell1917),03_11_32_41,Phanerozoic,CretaceousSchuchert1910(Barrell1917),1910,
Cenozoic,inScheme,Period,3,unspecified,0,unspecified,Schuchert1910(Barrell1917),03_11_31,Phanerozoic,CenozoicSchuchert1910(Barrell1917),1910,
Eocene,inScheme,Period,3,unspecified,unspecified,unspecified,Schuchert1910(Barrell1917),03_11_31_66,Phanerozoic,EoceneSchuchert1910(Barrell1917),1910,
Oligocene,inScheme,Period,unspecified,unspecified,1.5,unspecified,Schuchert1910(Barrell1917),03_11_31_65,Phanerozoic,OligoceneSchuchert1910(Barrell1917),1910,
Miocene,inScheme,Period,1.5,unspecified,unspecified,unspecified,Schuchert1910(Barrell1917),03_11_31_64,Phanerozoic,MioceneSchuchert1910(Barrell1917),1910,
Pliocene,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Schuchert1910(Barrell1917),03_11_31_63,Phanerozoic,PlioceneSchuchert1910(Barrell1917),1910,
Pleistocene,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Schuchert1910(Barrell1917),03_11_31_62,Phanerozoic,PleistoceneSchuchert1910(Barrell1917),1910,
Recent,inScheme,Period,unspecified,unspecified,0,0,Schuchert1910(Barrell1917),03_11_31_61,Phanerozoic,RecentSchuchert1910(Barrell1917),1910,
Paleozoic,inScheme,Period,25.3,unspecified,13.2,unspecified,Sollas1909(Barrell1917),03_11_33,Phanerozoic,PaleozoicSollas1909(Barrell1917),1909,
Cambrian,inScheme,Period,25.3,unspecified,22.7,unspecified,Sollas1909(Barrell1917),03_11_33_77,Phanerozoic,CambrianSollas1909(Barrell1917),1909,
Ordovician,inScheme,Period,22.7,unspecified,21,unspecified,Sollas1909(Barrell1917),03_11_33_76,Phanerozoic,OrdovicianSollas1909(Barrell1917),1909,
Silurian,inScheme,Period,21,unspecified,19.5,unspecified,Sollas1909(Barrell1917),03_11_33_75,Phanerozoic,SilurianSollas1909(Barrell1917),1909,
Devonian,inScheme,Period,19.5,unspecified,17.3,unspecified,Sollas1909(Barrell1917),03_11_33_74,Phanerozoic,DevonianSollas1909(Barrell1917),1909,
Mississppian,inScheme,Period,17.3,unspecified,unspecified,unspecified,Sollas1909(Barrell1917),03_11_33_73,Phanerozoic,MississppianSollas1909(Barrell1917),1909,
Pennsylvanian,inScheme,Period,unspecified,unspecified,14.4,unspecified,Sollas1909(Barrell1917),03_11_33_72,Phanerozoic,PennsylvanianSollas1909(Barrell1917),1909,
Permian,inScheme,Period,14.4,unspecified,13.2,unspecified,Sollas1909(Barrell1917),03_11_33_71,Phanerozoic,PermianSollas1909(Barrell1917),1909,
Mesozoic,inScheme,Period,13.2,unspecified,6.3,unspecified,Sollas1909(Barrell1917),03_11_32,Phanerozoic,MesozoicSollas1909(Barrell1917),1909,
Triassic,inScheme,Period,13.2,unspecified,11.5,unspecified,Sollas1909(Barrell1917),03_11_32_44,Phanerozoic,TriassicSollas1909(Barrell1917),1909,
Jurassic,inScheme,Period,11.5,unspecified,10.7,unspecified,Sollas1909(Barrell1917),03_11_32_43,Phanerozoic,JurassicSollas1909(Barrell1917),1909,
Comanche,inScheme,Period,10.7,unspecified,8.7,unspecified,Sollas1909(Barrell1917),03_11_32_42,Phanerozoic,ComancheSollas1909(Barrell1917),1909,
Cretaceous,inScheme,Period,8.7,unspecified,6.3,unspecified,Sollas1909(Barrell1917),03_11_32_41,Phanerozoic,CretaceousSollas1909(Barrell1917),1909,
Cenozoic,inScheme,Period,6.3,unspecified,0,unspecified,Sollas1909(Barrell1917),03_11_31,Phanerozoic,CenozoicSollas1909(Barrell1917),1909,
Eocene,inScheme,Period,6.3,unspecified,4.3,unspecified,Sollas1909(Barrell1917),03_11_31_66,Phanerozoic,EoceneSollas1909(Barrell1917),1909,
Oligocene,inScheme,Period,4.3,unspecified,3.1,unspecified,Sollas1909(Barrell1917),03_11_31_65,Phanerozoic,OligoceneSollas1909(Barrell1917),1909,
Miocene,inScheme,Period,3.1,unspecified,1.7,unspecified,Sollas1909(Barrell1917),03_11_31_64,Phanerozoic,MioceneSollas1909(Barrell1917),1909,
Pliocene,inScheme,Period,1.7,unspecified,0.4,unspecified,Sollas1909(Barrell1917),03_11_31_63,Phanerozoic,PlioceneSollas1909(Barrell1917),1909,
Pleistocene,inScheme,Period,0.4,unspecified,unspecified,unspecified,Sollas1909(Barrell1917),03_11_31_62,Phanerozoic,PleistoceneSollas1909(Barrell1917),1909,
Recent,inScheme,Period,unspecified,unspecified,0,0,Sollas1909(Barrell1917),03_11_31_61,Phanerozoic,RecentSollas1909(Barrell1917),1909,
Paleozoic,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_33,Phanerozoic,PaleozoicMatthew1914(Barrell1917),1914,
Cambrian,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_33_77,Phanerozoic,CambrianMatthew1914(Barrell1917),1914,
Ordovician,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_33_76,Phanerozoic,OrdovicianMatthew1914(Barrell1917),1914,
Silurian,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_33_75,Phanerozoic,SilurianMatthew1914(Barrell1917),1914,
Devonian,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_33_74,Phanerozoic,DevonianMatthew1914(Barrell1917),1914,
Mississppian,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_33_73,Phanerozoic,MississppianMatthew1914(Barrell1917),1914,
Pennsylvanian,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_33_72,Phanerozoic,PennsylvanianMatthew1914(Barrell1917),1914,
Permian,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_33_71,Phanerozoic,PermianMatthew1914(Barrell1917),1914,
Mesozoic,inScheme,Period,49.6,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_32,Phanerozoic,MesozoicMatthew1914(Barrell1917),1914,
Triassic,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_32_44,Phanerozoic,TriassicMatthew1914(Barrell1917),1914,
Jurassic,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_32_43,Phanerozoic,JurassicMatthew1914(Barrell1917),1914,
Comanche,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_32_42,Phanerozoic,ComancheMatthew1914(Barrell1917),1914,
Cretaceous,inScheme,Period,unspecified,unspecified,9.6,unspecified,Matthew1914(Barrell1917),03_11_32_41,Phanerozoic,CretaceousMatthew1914(Barrell1917),1914,
Cenozoic,inScheme,Period,9.6,unspecified,0,unspecified,Matthew1914(Barrell1917),03_11_31,Phanerozoic,CenozoicMatthew1914(Barrell1917),1914,
Eocene,inScheme,Period,9.6,unspecified,6.1,unspecified,Matthew1914(Barrell1917),03_11_31_66,Phanerozoic,EoceneMatthew1914(Barrell1917),1914,
Oligocene,inScheme,Period,6.1,unspecified,4.1,unspecified,Matthew1914(Barrell1917),03_11_31_65,Phanerozoic,OligoceneMatthew1914(Barrell1917),1914,
Miocene,inScheme,Period,4.1,unspecified,1.1,unspecified,Matthew1914(Barrell1917),03_11_31_64,Phanerozoic,MioceneMatthew1914(Barrell1917),1914,
Pliocene,inScheme,Period,1.1,unspecified,0.1,unspecified,Matthew1914(Barrell1917),03_11_31_63,Phanerozoic,PlioceneMatthew1914(Barrell1917),1914,
Pleistocene,inScheme,Period,0.1,unspecified,unspecified,unspecified,Matthew1914(Barrell1917),03_11_31_62,Phanerozoic,PleistoceneMatthew1914(Barrell1917),1914,
Recent,inScheme,Period,unspecified,unspecified,0,0,Matthew1914(Barrell1917),03_11_31_61,Phanerozoic,RecentMatthew1914(Barrell1917),1914,
Paleozoic,inScheme,Period,704.2,unspecified,284.9,unspecified,Goodchild1896(Barrell1917),03_11_33,Phanerozoic,PaleozoicGoodchild1896(Barrell1917),1896,
Cambrian,inScheme,Period,704.2,unspecified,662.2,unspecified,Goodchild1896(Barrell1917),03_11_33_77,Phanerozoic,CambrianGoodchild1896(Barrell1917),1896,
Ordovician,inScheme,Period,662.2,unspecified,605.2,unspecified,Goodchild1896(Barrell1917),03_11_33_76,Phanerozoic,OrdovicianGoodchild1896(Barrell1917),1896,
Silurian,inScheme,Period,605.2,unspecified,549.2,unspecified,Goodchild1896(Barrell1917),03_11_33_75,Phanerozoic,SilurianGoodchild1896(Barrell1917),1896,
Devonian,inScheme,Period,549.2,unspecified,424.2,unspecified,Goodchild1896(Barrell1917),03_11_33_74,Phanerozoic,DevonianGoodchild1896(Barrell1917),1896,
Mississppian,inScheme,Period,424.2,unspecified,361.7,unspecified,Goodchild1896(Barrell1917),03_11_33_73,Phanerozoic,MississppianGoodchild1896(Barrell1917),1896,
Pennsylvanian,inScheme,Period,361.7,unspecified,329.9,unspecified,Goodchild1896(Barrell1917),03_11_33_72,Phanerozoic,PennsylvanianGoodchild1896(Barrell1917),1896,
Permian,inScheme,Period,329.9,unspecified,284.9,unspecified,Goodchild1896(Barrell1917),03_11_33_71,Phanerozoic,PermianGoodchild1896(Barrell1917),1896,
Mesozoic,inScheme,Period,284.9,unspecified,93.4,unspecified,Goodchild1896(Barrell1917),03_11_32,Phanerozoic,MesozoicGoodchild1896(Barrell1917),1896,
Triassic,inScheme,Period,284.9,unspecified,197.4,unspecified,Goodchild1896(Barrell1917),03_11_32_44,Phanerozoic,TriassicGoodchild1896(Barrell1917),1896,
Jurassic,inScheme,Period,197.4,unspecified,unspecified,unspecified,Goodchild1896(Barrell1917),03_11_32_43,Phanerozoic,JurassicGoodchild1896(Barrell1917),1896,
Comanche,inScheme,Period,unspecified,unspecified,124.8,unspecified,Goodchild1896(Barrell1917),03_11_32_42,Phanerozoic,ComancheGoodchild1896(Barrell1917),1896,
Cretaceous,inScheme,Period,124.8,unspecified,93.4,unspecified,Goodchild1896(Barrell1917),03_11_32_41,Phanerozoic,CretaceousGoodchild1896(Barrell1917),1896,
Cenozoic,inScheme,Period,93.4,unspecified,0,unspecified,Goodchild1896(Barrell1917),03_11_31,Phanerozoic,CenozoicGoodchild1896(Barrell1917),1896,
Eocene,inScheme,Period,93.4,unspecified,unspecified,unspecified,Goodchild1896(Barrell1917),03_11_31_66,Phanerozoic,EoceneGoodchild1896(Barrell1917),1896,
Oligocene,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Goodchild1896(Barrell1917),03_11_31_65,Phanerozoic,OligoceneGoodchild1896(Barrell1917),1896,
Miocene,inScheme,Period,unspecified,unspecified,16,unspecified,Goodchild1896(Barrell1917),03_11_31_64,Phanerozoic,MioceneGoodchild1896(Barrell1917),1896,
Pliocene,inScheme,Period,16,unspecified,unspecified,unspecified,Goodchild1896(Barrell1917),03_11_31_63,Phanerozoic,PlioceneGoodchild1896(Barrell1917),1896,
Pleistocene,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Goodchild1896(Barrell1917),03_11_31_62,Phanerozoic,PleistoceneGoodchild1896(Barrell1917),1896,
Recent,inScheme,Period,unspecified,unspecified,0,0,Goodchild1896(Barrell1917),03_11_31_61,Phanerozoic,RecentGoodchild1896(Barrell1917),1896,
Paleozoic,inScheme,Period,550,unspecified,190,unspecified,Barrell1917A,03_11_33,Phanerozoic,PaleozoicBarrell1917A,1917,
Cambrian,inScheme,Period,550,unspecified,480,unspecified,Barrell1917A,03_11_33_77,Phanerozoic,CambrianBarrell1917A,1917,
Ordovician,inScheme,Period,480,unspecified,390,unspecified,Barrell1917A,03_11_33_76,Phanerozoic,OrdovicianBarrell1917A,1917,
Silurian,inScheme,Period,390,unspecified,350,unspecified,Barrell1917A,03_11_33_75,Phanerozoic,SilurianBarrell1917A,1917,
Devonian,inScheme,Period,350,unspecified,300,unspecified,Barrell1917A,03_11_33_74,Phanerozoic,DevonianBarrell1917A,1917,
Mississppian,inScheme,Period,300,unspecified,250,unspecified,Barrell1917A,03_11_33_73,Phanerozoic,MississppianBarrell1917A,1917,
Pennsylvanian,inScheme,Period,250,unspecified,215,unspecified,Barrell1917A,03_11_33_72,Phanerozoic,PennsylvanianBarrell1917A,1917,
Permian,inScheme,Period,215,unspecified,unspecified,unspecified,Barrell1917A,03_11_33_71,Phanerozoic,PermianBarrell1917A,1917,
Mesozoic,inScheme,Period,190,unspecified,55,unspecified,Barrell1917A,03_11_32,Phanerozoic,MesozoicBarrell1917A,1917,
Triassic,inScheme,Period,190,unspecified,155,unspecified,Barrell1917A,03_11_32_44,Phanerozoic,TriassicBarrell1917A,1917,
Jurassic,inScheme,Period,155,unspecified,120,unspecified,Barrell1917A,03_11_32_43,Phanerozoic,JurassicBarrell1917A,1917,
Comanche,inScheme,Period,120,unspecified,95,unspecified,Barrell1917A,03_11_32_42,Phanerozoic,ComancheBarrell1917A,1917,
Cretaceous,inScheme,Period,95,unspecified,unspecified,unspecified,Barrell1917A,03_11_32_41,Phanerozoic,CretaceousBarrell1917A,1917,
Cenozoic,inScheme,Period,55,unspecified,0,unspecified,Barrell1917A,03_11_31,Phanerozoic,CenozoicBarrell1917A,1917,
Eocene,inScheme,Period,55,unspecified,35,unspecified,Barrell1917A,03_11_31_66,Phanerozoic,EoceneBarrell1917A,1917,
Oligocene,inScheme,Period,35,unspecified,19,unspecified,Barrell1917A,03_11_31_65,Phanerozoic,OligoceneBarrell1917A,1917,
Miocene,inScheme,Period,19,unspecified,7,unspecified,Barrell1917A,03_11_31_64,Phanerozoic,MioceneBarrell1917A,1917,
Pliocene,inScheme,Period,7,unspecified,1,unspecified,Barrell1917A,03_11_31_63,Phanerozoic,PlioceneBarrell1917A,1917,
Pleistocene,inScheme,Period,1,unspecified,unspecified,unspecified,Barrell1917A,03_11_31_62,Phanerozoic,PleistoceneBarrell1917A,1917,
Recent,inScheme,Period,unspecified,unspecified,0,0,Barrell1917A,03_11_31_61,Phanerozoic,RecentBarrell1917A,1917,
Paleozoic,inScheme,Period,700,unspecified,240,unspecified,Barrell1917B,03_11_33,Phanerozoic,PaleozoicBarrell1917B,1917,
Cambrian,inScheme,Period,700,unspecified,590,unspecified,Barrell1917B,03_11_33_77,Phanerozoic,CambrianBarrell1917B,1917,
Ordovician,inScheme,Period,590,unspecified,460,unspecified,Barrell1917B,03_11_33_76,Phanerozoic,OrdovicianBarrell1917B,1917,
Silurian,inScheme,Period,460,unspecified,420,unspecified,Barrell1917B,03_11_33_75,Phanerozoic,SilurianBarrell1917B,1917,
Devonian,inScheme,Period,420,unspecified,370,unspecified,Barrell1917B,03_11_33_74,Phanerozoic,DevonianBarrell1917B,1917,
Mississppian,inScheme,Period,370,unspecified,330,unspecified,Barrell1917B,03_11_33_73,Phanerozoic,MississppianBarrell1917B,1917,
Pennsylvanian,inScheme,Period,330,unspecified,280,unspecified,Barrell1917B,03_11_33_72,Phanerozoic,PennsylvanianBarrell1917B,1917,
Permian,inScheme,Period,280,unspecified,unspecified,unspecified,Barrell1917B,03_11_33_71,Phanerozoic,PermianBarrell1917B,1917,
Mesozoic,inScheme,Period,240,unspecified,65,unspecified,Barrell1917B,03_11_32,Phanerozoic,MesozoicBarrell1917B,1917,
Triassic,inScheme,Period,240,unspecified,195,unspecified,Barrell1917B,03_11_32_44,Phanerozoic,TriassicBarrell1917B,1917,
Jurassic,inScheme,Period,195,unspecified,150,unspecified,Barrell1917B,03_11_32_43,Phanerozoic,JurassicBarrell1917B,1917,
Comanche,inScheme,Period,150,unspecified,115,unspecified,Barrell1917B,03_11_32_42,Phanerozoic,ComancheBarrell1917B,1917,
Cretaceous,inScheme,Period,115,unspecified,unspecified,unspecified,Barrell1917B,03_11_32_41,Phanerozoic,CretaceousBarrell1917B,1917,
Cenozoic,inScheme,Period,65,unspecified,0,unspecified,Barrell1917B,03_11_31,Phanerozoic,CenozoicBarrell1917B,1917,
Eocene,inScheme,Period,65,unspecified,30,unspecified,Barrell1917B,03_11_31_66,Phanerozoic,EoceneBarrell1917B,1917,
Oligocene,inScheme,Period,30,unspecified,23,unspecified,Barrell1917B,03_11_31_65,Phanerozoic,OligoceneBarrell1917B,1917,
Miocene,inScheme,Period,23,unspecified,9,unspecified,Barrell1917B,03_11_31_64,Phanerozoic,MioceneBarrell1917B,1917,
Pliocene,inScheme,Period,9,unspecified,1.5,unspecified,Barrell1917B,03_11_31_63,Phanerozoic,PlioceneBarrell1917B,1917,
Pleistocene,inScheme,Period,1.5,unspecified,unspecified,unspecified,Barrell1917B,03_11_31_62,Phanerozoic,PleistoceneBarrell1917B,1917,
Recent,inScheme,Period,unspecified,unspecified,0,0,Barrell1917B,03_11_31_61,Phanerozoic,RecentBarrell1917B,1917,
Neogene,inScheme,Period,18,unspecified,0,0,Barrell1917(Elias1945),01_1501,Phanerozoic,NeogeneBarrell1917(Elias1945),1917,
Paleogene,inScheme,Period,54,unspecified,18,unspecified,Barrell1917(Elias1945),01_1502,Phanerozoic,PaleogeneBarrell1917(Elias1945),1917,
Cretaceous,inScheme,Period,94,unspecified,54,unspecified,Barrell1917(Elias1945),01_1503,Phanerozoic,CretaceousBarrell1917(Elias1945),1917,
Comanchean,inScheme,SubPeriod,119,unspecified,94,unspecified,Barrell1917(Elias1945),01_1504,Phanerozoic,ComancheanBarrell1917(Elias1945),1917,
Jurassic,inScheme,Period,154,unspecified,119,unspecified,Barrell1917(Elias1945),01_1505,Phanerozoic,JurassicBarrell1917(Elias1945),1917,
Triassic,inScheme,Period,189,unspecified,154,unspecified,Barrell1917(Elias1945),01_1506,Phanerozoic,TriassicBarrell1917(Elias1945),1917,
Permian,inScheme,Period,214,unspecified,189,unspecified,Barrell1917(Elias1945),01_1507,Phanerozoic,PermianBarrell1917(Elias1945),1917,
Pennsylvanian,inScheme,Period,249,unspecified,214,unspecified,Barrell1917(Elias1945),01_1508,Phanerozoic,PennsylvanianBarrell1917(Elias1945),1917,
Mississippian,inScheme,Period,289,unspecified,249,unspecified,Barrell1917(Elias1945),01_1509,Phanerozoic,MississippianBarrell1917(Elias1945),1917,
Devonian,inScheme,Period,339,unspecified,289,unspecified,Barrell1917(Elias1945),01_1510,Phanerozoic,DevonianBarrell1917(Elias1945),1917,
Silurian,inScheme,Period,379,unspecified,339,unspecified,Barrell1917(Elias1945),01_1511,Phanerozoic,SilurianBarrell1917(Elias1945),1917,
Ordovician,inScheme,Period,unspecified,unspecified,379,unspecified,Barrell1917(Elias1945),01_1512,Phanerozoic,OrdovicianBarrell1917(Elias1945),1917,
Canadian,inScheme,SubPeriod,469,unspecified,unspecified,unspecified,Barrell1917(Elias1945),01_1513,Phanerozoic,CanadianBarrell1917(Elias1945),1917,
Ozarkian,inScheme,SubPeriod,unspecified,unspecified,469,unspecified,Barrell1917(Elias1945),01_1514,Phanerozoic,OzarkianBarrell1917(Elias1945),1917,
Cambrian,inScheme,Period,539,unspecified,unspecified,unspecified,Barrell1917(Elias1945),01_1515,Phanerozoic,CambrianBarrell1917(Elias1945),1917,
Neogene,inScheme,Period,unspecified,unspecified,0,0,Moore1933(Elias1945),01_1501,Phanerozoic,NeogeneMoore1933(Elias1945),1933,
Paleogene,inScheme,Period,58,unspecified,unspecified,unspecified,Moore1933(Elias1945),01_1502,Phanerozoic,PaleogeneMoore1933(Elias1945),1933,
Cretaceous,inScheme,Period,unspecified,unspecified,58,unspecified,Moore1933(Elias1945),01_1503,Phanerozoic,CretaceousMoore1933(Elias1945),1933,
Comanchean,inScheme,SubPeriod,123,unspecified,unspecified,unspecified,Moore1933(Elias1945),01_1504,Phanerozoic,ComancheanMoore1933(Elias1945),1933,
Jurassic,inScheme,Period,155,unspecified,123,unspecified,Moore1933(Elias1945),01_1505,Phanerozoic,JurassicMoore1933(Elias1945),1933,
Triassic,inScheme,Period,183,unspecified,155,unspecified,Moore1933(Elias1945),01_1506,Phanerozoic,TriassicMoore1933(Elias1945),1933,
Permian,inScheme,Period,221,unspecified,183,unspecified,Moore1933(Elias1945),01_1507,Phanerozoic,PermianMoore1933(Elias1945),1933,
Pennsylvanian,inScheme,Period,269,unspecified,221,unspecified,Moore1933(Elias1945),01_1508,Phanerozoic,PennsylvanianMoore1933(Elias1945),1933,
Mississippian,inScheme,Period,307,unspecified,269,unspecified,Moore1933(Elias1945),01_1509,Phanerozoic,MississippianMoore1933(Elias1945),1933,
Devonian,inScheme,Period,352,unspecified,307,unspecified,Moore1933(Elias1945),01_1510,Phanerozoic,DevonianMoore1933(Elias1945),1933,
Silurian,inScheme,Period,379,unspecified,352,unspecified,Moore1933(Elias1945),01_1511,Phanerozoic,SilurianMoore1933(Elias1945),1933,
Ordovician,inScheme,Period,unspecified,unspecified,379,unspecified,Moore1933(Elias1945),01_1512,Phanerozoic,OrdovicianMoore1933(Elias1945),1933,
Canadian,inScheme,SubPeriod,446,unspecified,unspecified,unspecified,Moore1933(Elias1945),01_1513,Phanerozoic,CanadianMoore1933(Elias1945),1933,
Ozarkian,inScheme,SubPeriod,unspecified,unspecified,446,unspecified,Moore1933(Elias1945),01_1514,Phanerozoic,OzarkianMoore1933(Elias1945),1933,
Cambrian,inScheme,Period,551,unspecified,unspecified,unspecified,Moore1933(Elias1945),01_1515,Phanerozoic,CambrianMoore1933(Elias1945),1933,
Neogene,inScheme,Period,unspecified,0,0,0,Twenhofel1935(Elias1945),01_1501,Phanerozoic,NeogeneTwenhofel1935(Elias1945),1935,
Paleogene,inScheme,Period,60,unspecified,unspecified,unspecified,Twenhofel1935(Elias1945),01_1502,Phanerozoic,PaleogeneTwenhofel1935(Elias1945),1935,
